番号,スラムダンクキャラ名,,,,,画像,学校,背番号,ポジション,セリフ１,セリフ２,セリフ３,セリフ４,セリフ５
1,1位：,桜木花道（,湘北高校,"19,849票",,,,,,,,,,
2,"2位：流川楓（湘北高校）13,063票",,,,,,,,,,,,,
3,"3位：赤木剛憲（湘北高校）7,243票",,,,,,,,,,,,,
4,"4位：仙道彰（陵南高校）7,052票",,,,,,,,,,,,,
5,"5位：水戸洋平（湘北高校）6,942票",,,,,,,,,,,,,
6,"6位：木暮公延（湘北高校）3,659票",,,,,,,,,,,,,
7,"7位：安西先生（湘北高校）3,370票",,,,,,,,,,,,,
8,"8位：赤木晴子（湘北高校）2,840票",,,,,,,,,,,,,
9,"9位：宮城リョータ（湘北高校）2,698票",,,,,,,,,,,,,
10,"10位：彩子（湘北高校）2,520票",,,,,,,,,,,,,
11,"11位：相田彦一（陵南高校）1,652票",,,,,,,,,,,,,
12,12位：安田靖春（湘北高校）705票,,,,,,,,,,,,,
13,13位：青田龍彦（湘北高校）514票,,,,,,,,,,,,,
14,14位：堀田徳男（湘北高校）512票,,,,,,,,,,,,,
15,15位：店長 476票,,,,,,,,,,,,,
16,16位：マイケルDcT・井上 456票,,,,,,,,,,,,,
17,17位：高宮望（湘北高校）439票,,,,,,,,,,,,,
18,18位：三井寿（湘北高校）284票,,,,,,,,,,,,,
19,19位：桑田登紀（湘北高校）272票,,,,,,,,,,,,,
20,20位：魚住純（陵南高校）254票,,,,,,,,,,,,,
21,14位 福田 吉兆(ふくだ きっちょう)【0.3%】,,,,,,,,,,,,,
22,14位 清田 信長(きよた のぶなが)【0.3%】,,,,,,,,,,,,,
23,14位 藤真 健司(ふじま けんじ)【0.3%】,,,,,,,,,,,,,
24,14位 花形 透(はながた とおる)【0.3%】,,,,,,,,,,,,,
25,14位 南 烈(みなみ つよし)【0.3%】,,,,,,,,,,,,,
26,14位 沢北 栄治(さわきた えいじ)【0.3%】,,,,,,,,,,,,,
27,21位 田岡 茂一(たおか もいち)【0.0%】,,,,,,,,,,,,,
28,21位 岸本 実理(きしもと みのり)【0.0%】,,,,,,,,,,,,,
29,21位 深津 一成(ふかつ かずなり)【0.0%】,,,,,,,,,,,,,
30,5位 安西 光義(あんざい みつよし)【4.8%】,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
